Course,URL,instructor,Price (full),Price (discount),Rank
The Complete Financial Analyst Course 2020,www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,"¥23,400","¥1,430","Rating: 4.5 out of 54.5 - (25,923)"
The Complete Financial Analyst Training & Investing Course,www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,"Chris Haroun, Complete Business Education with Chris Haroun","¥24,000","¥1,270","Rating: 4.5 out of 54.5 - (11,470)"
Beginner to Pro in Excel: Financial Modeling and Valuation,www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,365 Careers,"¥23,400","¥1,270","Rating: 4.5 out of 54.5 - (17,917)"
Investing In Stocks  The Complete Course! (11 Hour),www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA","¥24,000","¥1,270","Rating: 4.4 out of 54.4 - (10,441)"
Python for Finance: Investment Fundamentals & Data Analytics,www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,"¥23,400","¥1,270","Rating: 4.5 out of 54.5 - (9,940)"
The Complete Investment Banking Course 2020,www.udemy.com/course/the-complete-investment-banking-course-2016/,365 Careers,"¥23,400","¥1,320","Rating: 4.4 out of 54.4 - (12,794)"
The Complete Foundation Stock Trading Course,www.udemy.com/course/foundation-course/,"Mohsen Hassan, MTG Team","¥24,000","¥1,270","Rating: 4.6 out of 54.6 - (7,233)"
"Introduction to Finance, Accounting, Modeling and Valuation",www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,"Chris Haroun, Complete Business Education with Chris Haroun","¥24,000","¥1,270","Rating: 4.4 out of 54.4 - (10,107)"
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,www.udemy.com/course/forex-trading/,"Kirill Eremenko, ForexBoat Team","¥23,400","¥1,320","Rating: 4.6 out of 54.6 - (11,814)"
"The Complete Personal Finance Course: Save,Protect,Make More",www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/,"Chris Haroun, Complete Business Education with Chris Haroun","¥24,000","¥1,270","Rating: 4.5 out of 54.5 - (2,986)"
Advanced Stock Trading Course + Strategies,www.udemy.com/course/advanced-course-plus-strategies/,"Mohsen Hassan, MTG Team","¥24,000","¥1,320","Rating: 4.6 out of 54.6 - (1,899)"
Technical Analysis MasterClass:Trading By Technical Analysis,www.udemy.com/course/technical_analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","¥24,000","¥1,320","Rating: 4.5 out of 54.5 - (2,711)"
Stock Trading Strategies : Technical Analysis MasterClass 2,www.udemy.com/course/advance-trading-strategies/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","¥24,000","¥1,320","Rating: 4.6 out of 54.6 - (1,126)"
Accounting & Financial Statement Analysis: Complete Training,www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,365 Careers,"¥18,000","¥1,320","Rating: 4.5 out of 54.5 - (3,334)"
Options Trading MasterClass: Options With Technical Analysis,www.udemy.com/course/option-trading-option-strategies-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","¥24,000","¥1,490","Rating: 4.5 out of 54.5 - (1,021)"
Forex Robots: Automate Your Trading - Forex Robot Included!,www.udemy.com/course/backtesting/,"Kirill Eremenko, ForexBoat Team","¥24,000","¥1,320","Rating: 4.6 out of 54.6 - (2,785)"
"QuickBooks Online 2020, 2019 & 2018 Start to Finish",www.udemy.com/course/quickbooks-online-2018-start-to-finish/,Robert (Bob) Steele,€199.99,€10.99,"Rating: 4.4 out of 54.4 - (1,310)"
Blockchain and Bitcoin Fundamentals,www.udemy.com/course/blockchain-and-bitcoin-fundamentals/,George Levy,€94.99,€10.99,"Rating: 4.5 out of 54.5 - (15,266)"
Financial Accounting - #1 Ranked University: Course 1 of 5,www.udemy.com/course/learnaccountingforfree/,Norm Nemrow,€199.99,€10.99,"Rating: 4.6 out of 54.6 - (1,320)"
Stock Trading & Investing for Beginners 4-in-1 Course Bundle,www.udemy.com/course/complete-stock-market-starter-toolkit-for-beginners/,Indian Insight,€199.99,€10.99,"Rating: 4.7 out of 54.7 - (1,521)"
SAP FICO (Financial Accounting & Management Accounting),www.udemy.com/course/sap-fico-training-course/,Rana W Mehmood,€199.99,€10.99,"Rating: 4.3 out of 54.3 - (1,251)"
"Algorithmic Trading: Backtest, Optimize & Automate in Python",www.udemy.com/course/algorithmic-trading-in-python/,"Mohsen Hassan, Ilyass Tabiai, MTG Team",€199.99,€10.99,Rating: 4.5 out of 54.5 - (468)
CFA Level 1 (2020) - Complete Financial Reporting & Analysis,www.udemy.com/course/cfa-level-1-fra-complete-mastery-course/,"PrepNuggets | Keith Tan, CFA",€139.99,€10.99,"Rating: 4.5 out of 54.5 - (1,540)"
Complete Day Trading : Stock Trading With Technical Analysis,www.udemy.com/course/day-trading-strategies-day-trading-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",€199.99,€10.99,Rating: 4.5 out of 54.5 - (917)
Day Trading and Swing Trading Strategies For Stocks,www.udemy.com/course/day-trading-swing-trading-strategies-stocks/,"Mohsen Hassan, MTG Team",€199.99,€10.99,Rating: 4.5 out of 54.5 - (499)
Professional Trading With Institutional Supply & Demand,www.udemy.com/course/professional-trading-with-institutional-supply-demand/,Simon Kloot,0,€199.99,Rating: 4.7 out of 54.7 - (397)
The Complete Finance Manager Course 2020,www.udemy.com/course/the-complete-finance-manager-course/,365 Careers,€194.99,€10.99,"Rating: 4.4 out of 54.4 - (1,424)"
Algorithmic Trading In Forex: Create Your First Forex Robot!,www.udemy.com/course/learn-mql4/,"Kirill Eremenko, ForexBoat Team",€184.99,€10.99,"Rating: 4.6 out of 54.6 - (2,278)"
Options Trading Basics (3-Course Bundle),www.udemy.com/course/learn-options-trading-courses/,Hari Swaminathan,0,€49.99,"Rating: 4.6 out of 54.6 - (4,153)"
Financial Modeling for Startups & Small Businesses,www.udemy.com/course/financial-modeling-for-startups-small-businesses/,"Evan Kimbrell, Symon He",€194.99,€10.99,"Rating: 4.4 out of 54.4 - (1,773)"
Financial Planning & Analysis: Building a Company's Budget,www.udemy.com/course/financial-planning-analysis-building-a-companys-budget/,365 Careers,€149.99,€10.99,"Rating: 4.4 out of 54.4 - (1,975)"
CFA Level 1 (2020) - Complete Quantitative Methods,www.udemy.com/course/cfa-level-1-complete-quantitative-methods/,"PrepNuggets | Keith Tan, CFA",€99.99,€10.99,Rating: 4.6 out of 54.6 - (956)
Tax Preparation and Law 2019 2020 - Income Tax,www.udemy.com/course/tax-preparation-and-law-2018-2019-income-tax/,Robert (Bob) Steele,"₩220,000","₩12,100",Rating: 4.5 out of 54.5 - (473)
Candlestick Patterns to Master Forex Trading Price Action,www.udemy.com/course/candlestick-patterns-to-master-forex-trading-price-action/,Federico Sellitti,"₩214,500","₩12,100","Rating: 4.7 out of 54.7 - (1,267)"
Start Trading Stocks Using Technical Analysis!,www.udemy.com/course/professional-stock-trader/,"Corey Halliday, Todd parker","₩165,000","₩12,100","Rating: 4.5 out of 54.5 - (2,822)"
Investment Analysis & Portfolio Management - Core Finance,www.udemy.com/course/investment-analysis-portfolio-management/,Fervent #LearnWithDistinction,"₩198,000","₩12,100",Rating: 4.4 out of 54.4 - (453)
The Ultimate QuickBooks Pro Training Bundle - 57 Hours,www.udemy.com/course/the-ultimate-quickbooks-pro-training-bundle/,Simon Sez IT,"₩220,000","₩12,100","Rating: 4.4 out of 54.4 - (1,965)"
Beginner to Pro in PowerPoint: Complete PowerPoint Training,www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,365 Careers,"₩165,000","₩12,100","Rating: 4.3 out of 54.3 - (2,796)"
Financial Modeling: Build a Complete DCF Valuation Model,www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/,365 Careers,"₩104,500","₩12,100","Rating: 4.4 out of 54.4 - (1,694)"
Investing Success: Learn Keys From A Millionaire Investor!,www.udemy.com/course/investing-success/,"Steve Ballinger, MBA","₩220,000","₩12,100",Rating: 4.3 out of 54.3 - (828)
Accounting: From Beginner to Advanced!,www.udemy.com/course/accounting101/,"Stefan Ignatovski, Ph.D.","₩220,000","₩12,100","Rating: 4.3 out of 54.3 - (2,229)"
Complete 2-in-1 Python for Business and Finance Bootcamp,www.udemy.com/course/complete-python-for-business-and-finance-bootcamp/,Alexander Hagmann,"₩220,000","₩12,100",Rating: 4.6 out of 54.6 - (33)
Financial Derivatives: A Quantitative Finance View,www.udemy.com/course/financial-derivatives/,Cameron Connell,"₩214,500","₩12,100",Rating: 4.5 out of 54.5 - (322)
Value Investing Bootcamp: How to Invest Wisely,www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/,Nick Kraakman,"₩220,000","₩12,100","Rating: 4.3 out of 54.3 - (2,561)"
Bookkeeping Basics #1:  Understand the Fundamentals,www.udemy.com/course/bookkeeping-basics/,Ron Trucks,"₩82,500","₩12,100","Rating: 4.4 out of 54.4 - (1,043)"
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,www.udemy.com/course/metatrader4/,"Kirill Eremenko, ForexBoat Team","₩165,000","₩12,100","Rating: 4.6 out of 54.6 - (1,506)"
Options Trading for Rookies:  Understand Options Completely,www.udemy.com/course/complete-course-introduction-to-option-trading/,"Kal Zurn, Luca Moschini, Sharper Trades","₩165,000","₩12,100",Rating: 4.8 out of 54.8 - (711)
Financial modeling | Project Finance & Infrastructure,www.udemy.com/course/financial-modeling-project-finance-infrastructure/,DealMaker Financial Training,"₩220,000","₩55,000",Rating: 4.3 out of 54.3 - (704)
Investing 101: The Complete Online Investing Course 2020,www.udemy.com/course/online-investing-guide/,Wealthy Education,"₩220,000","₩12,100","Rating: 4.3 out of 54.3 - (1,435)"
CFA Level 1 (2020) - Complete Fixed Income,www.udemy.com/course/cfa-level-1-complete-fixed-income/,"PrepNuggets | Keith Tan, CFA","₩110,000","₩12,100",Rating: 4.6 out of 54.6 - (347)
CFA Level 1 (2020) - Complete Equity Investments,www.udemy.com/course/cfa-level-1-complete-equity-investments/,"PrepNuggets | Keith Tan, CFA","₩110,000","₩12,100",Rating: 4.7 out of 54.7 - (230)
Excel Crash Course: Master Excel for Financial Analysis,www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Tim Vipond,"₩49,500","₩12,100","Rating: 4.5 out of 54.5 - (2,554)"
Forex Trading Strategy: A Complete System with Live Examples,www.udemy.com/course/forex-trading-strategy-a-complete-system-with-live-examples/,Federico Sellitti,"₩220,000","₩12,100",Rating: 4.7 out of 54.7 - (800)
Mastering QuickBooks Online,www.udemy.com/course/mastering-quickbooks-online/,Mark Smolen,"₩49,500","₩12,100","Rating: 4.5 out of 54.5 - (1,006)"
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,www.udemy.com/course/financial-management-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA","₩220,000","₩12,100",Rating: 4.4 out of 54.4 - (719)
The Complete Value Investing Course (Updated 2020),www.udemy.com/course/value-investing-essential-guide-to-picking-stocks/,Wealthy Education,"₩220,000","₩12,100",Rating: 4.4 out of 54.4 - (957)
Managerial Accounting- #1 Ranked University: Course 2 of 5,www.udemy.com/course/managerial_accounting/,"Norm Nemrow, Cameron Earl","₩220,000","₩12,100",Rating: 4.6 out of 54.6 - (42)
Forex Trading Price Action: Advanced Swing Trading Strategy,www.udemy.com/course/forex-trading-price-action-advanced-swing-trading-strategy/,Federico Sellitti,"₩220,000","₩12,100",Rating: 4.7 out of 54.7 - (715)
Financial modeling | Renewable Energy: Solar & Wind,www.udemy.com/course/financial-modeling-solar-wind-power-plants-2018/,DealMaker Financial Training,"₩220,000","₩55,000",Rating: 4.6 out of 54.6 - (359)
The Complete Technical Analysis Trading Course (New 2020),www.udemy.com/course/the-complete-technical-analysis-course/,Wealthy Education,"₩220,000","₩12,100",Rating: 4.4 out of 54.4 - (854)
Options Trading - How to Win with Weekly Options,www.udemy.com/course/work-from-home-setup-your-own-options-trading-business/,Jeff Tompkins,"₩126,500","₩12,100","Rating: 4.3 out of 54.3 - (2,255)"
CFA Level 1 (2020) - Complete Derivatives,www.udemy.com/course/cfa-level-1-complete-derivatives/,"PrepNuggets | Keith Tan, CFA","₩55,000","₩12,100",Rating: 4.5 out of 54.5 - (385)
The Complete Introduction To Accounting and Finance,www.udemy.com/course/finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO","₩220,000","₩12,100",Rating: 4.3 out of 54.3 - (536)
Xero Online Accounting - Learn Xero in a Day,www.udemy.com/course/xero-in-a-day/,Marion Thomson,"₩110,000","₩12,100",Rating: 4.5 out of 54.5 - (497)
"Forex Strategies: Kelly Criterion, Larry Williams and more!",www.udemy.com/course/money-management/,"Kirill Eremenko, ForexBoat Team",£184.99,£13.19,"Rating: 4.6 out of 54.6 - (1,445)"
How to Win 97% of Your Options Trades,www.udemy.com/course/how-to-win-97-percent-of-your-trades/,Jeff Tompkins,£124.99,£13.19,"Rating: 4.4 out of 54.4 - (1,274)"
"QuickBooks Pro Desktop 2020, 2019,  & 2018 Start to Finish",www.udemy.com/course/quickbooks-pro-2018-start-to-finish/,Robert (Bob) Steele,£199.99,£13.19,Rating: 4.2 out of 54.2 - (601)
The Advanced Cryptocurrency Trading Course - With Strategies,www.udemy.com/course/the-advanced-cryptocurrency-trading-course-with-strategies/,"Mohsen Hassan, MTG Team",£199.99,£13.19,Rating: 4.6 out of 54.6 - (88)
The Complete Day Trading Course (New 2020),www.udemy.com/course/the-complete-day-trading-course/,Wealthy Education,£199.99,£13.19,Rating: 4.3 out of 54.3 - (548)
Chart Pattern Technical Analysis for Forex & Stock Trading !,www.udemy.com/course/technical-analysis-traditional-harmonic-chart-patterns/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",£199.99,£13.19,Rating: 4.6 out of 54.6 - (234)
The Complete Options Trading Course (New 2020),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,£199.99,£13.19,Rating: 4.3 out of 54.3 - (439)
Quantitative Finance & Algorithmic Trading in Python,www.udemy.com/course/quantitative-finance-algorithmic-trading-in-python/,Holczer Balazs,£199.99,£13.19,Rating: 4.3 out of 54.3 - (557)
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",£39.99,£13.19,Rating: 4.5 out of 54.5 - (167)
CFA Level 1 (2020) - Complete Portfolio Management,www.udemy.com/course/cfa-level-1-complete-portfolio-management/,"PrepNuggets | Keith Tan, CFA",£69.99,£13.19,Rating: 4.5 out of 54.5 - (67)
The Complete Dividend Investing Course (Updated 2020),www.udemy.com/course/how-to-value-dividend-stocks/,Wealthy Education,£199.99,£13.19,Rating: 4.4 out of 54.4 - (512)
Options Trading for Rookies: Basic Stock Options Strategies,www.udemy.com/course/basic-option-strategies-trading-vertical-options/,"Kal Zurn, Luca Moschini, Sharper Trades",£94.99,£13.19,Rating: 4.7 out of 54.7 - (277)
CFA Level 1 (2020) - Ethics Review,www.udemy.com/course/cfa-level-1-ethics-review/,"PrepNuggets | Keith Tan, CFA",£59.99,£13.19,Rating: 4.6 out of 54.6 - (35)
How I Make Consistent Returns Trading Options,www.udemy.com/course/how-i-make-15-per-month-trading-options/,Stephen Burnich,£199.99,£13.19,Rating: 4.6 out of 54.6 - (554)
KPI and metrics for Management Consultants & Managers,www.udemy.com/course/kpi-and-metrics-for-management-consultants-managers/,Asen Gyczew,£189.99,£13.19,Rating: 4.3 out of 54.3 - (76)
Personal Finance Masterclass - Easy Guide to Better Finances,www.udemy.com/course/personal-finance-masterclass/,"Phil Ebiner, Michael Moyer, Video School Online Inc",£99.99,£13.19,"Rating: 4.3 out of 54.3 - (1,328)"
Accounting–Financial Accounting Total-Beginners to Advanced,www.udemy.com/course/financial-accounting-accounting-cycle/,Robert (Bob) Steele,$199.99,$10.99,Rating: 4.0 out of 54.0 - (264)
Start Trading Stocks Using Technical Analysis! Part 2,www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/,"Corey Halliday, Todd parker",$199.99,$10.99,Rating: 4.7 out of 54.7 - (649)
Predict the Market with Harmonic Elliott Wave Analysis,www.udemy.com/course/predict-the-market-with-harmonic-elliott-wave-analysis/,CastAway Trader,0,$99.99,Rating: 4.6 out of 54.6 - (69)
Fibonacci A-Z+ Forex Trading Strategy with Fibonacci Cluster,www.udemy.com/course/forex-trading-with-mighty-fibonacci-complete-guide/,Marko Cvjeticanin,$149.99,$10.99,Rating: 4.7 out of 54.7 - (333)
Hedge and Mutual Fund Careers: The Complete Guide,www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,"Chris Haroun, Complete Business Education with Chris Haroun",$199.99,$10.99,Rating: 4.5 out of 54.5 - (965)
MQL4 Programming for Traders: Build Robust Trading Robots!,www.udemy.com/course/algorithmic-trading-bootcamp-metatrader4/,Enrico Lambino,$184.99,$10.99,Rating: 4.3 out of 54.3 - (484)
SAP FICO For Beginners - A Guide to SAP Financial Accounts,www.udemy.com/course/sap-fico-for-sap-beginners/,Dhruv Bais,$199.99,$10.99,Rating: 4.0 out of 54.0 - (625)
Forex Trading: Your Complete Guide to Get Started Like a Pro,www.udemy.com/course/forex-trading-your-complete-guide-to-get-started-like-a-pro/,Federico Sellitti,$139.99,$10.99,"Rating: 4.6 out of 54.6 - (1,034)"
Learn to Trade The News,www.udemy.com/course/learn-to-trade-the-news/,"Thomas Franklin, Springboardyourtrading.com",$199.99,$10.99,Rating: 4.6 out of 54.6 - (842)
Passive Income Investing And Side-Gig Mastery!,www.udemy.com/course/passive-income-course/,"Steve Ballinger, MBA",$199.99,$10.99,Rating: 4.5 out of 54.5 - (406)
"Cryptocurrency: Complete Bitcoin, Ethereum, Altcoins! (8 HR)",www.udemy.com/course/cryptocurrency-complete-bitcoin-ethereum-course/,"Steve Ballinger, MBA",$199.99,$10.99,"Rating: 4.4 out of 54.4 - (1,942)"
How to Start a Bookkeeping Business!,www.udemy.com/course/learn-how-to-start-your-own-profitable-bookkeeping-business/,"Brett Philips, CPA",$199.99,$10.99,Rating: 4.3 out of 54.3 - (108)
Options Trading for Rookies: Complete Guide to Stock Options,www.udemy.com/course/option-trading-for-rookies-the-complete-guide-to-options/,"Kal Zurn, Luca Moschini, Sharper Trades",$59.99,$10.99,Rating: 4.7 out of 54.7 - (209)
Ultimate Venture Capital: How to model investment rounds,www.udemy.com/course/learn-to-build-a-cap-table-and-waterfall-model-from-scratch/,Kiley Grant,$134.99,$10.99,Rating: 4.4 out of 54.4 - (129)
Value Investing Strategies for Stock Market Investing,www.udemy.com/course/value-investing-strategies-for-the-stock-market/,Indian Insight,$199.99,$10.99,Rating: 4.7 out of 54.7 - (388)
9 Economics courses for the 2020s (+ Oxford Diploma),www.udemy.com/course/egg-timer-economics/,Chris Bankes Sivewright,$154.99,$10.99,Rating: 4.2 out of 54.2 - (292)
Bookkeeping -Step by Step Mastery ***COMPLETE COURSE***,www.udemy.com/course/manual-bookkeeping-step-by-step-mastery/,Jafar Iqbal,"₩55,000","₩12,100",Rating: 4.2 out of 54.2 - (205)
Mastering Price Action Trading with Supply and Demand,www.udemy.com/course/market-stalkers-level-1-supply-demand-trading/,Deeyana Angelo,"₩159,500","₩12,100",Rating: 4.4 out of 54.4 - (173)
Company Valuation & Financial Modeling,www.udemy.com/course/the-valuation-analyst-skills-training-vast-course/,Ashish Agarwal,"₩82,500","₩12,100",Rating: 4.3 out of 54.3 - (548)
Business Analysis:  Working with Use Cases,www.udemy.com/course/usecases/,Don Hussey,"₩99,000","₩12,100","Rating: 4.4 out of 54.4 - (1,180)"
Learn How To Budget - Personal budgeting made easy,www.udemy.com/course/learnhowtobudget/,Pete Matthew,"₩27,500","₩12,100",Rating: 4.5 out of 54.5 - (551)
Advanced Financial Management for CA/CMA/CFA/ACCA/CS/MBA,www.udemy.com/course/advanced-financial-management-a-comprehensive-study/,"Raja Natarajan, B.Com., PGDBA, FCA","₩220,000","₩12,100",Rating: 4.3 out of 54.3 - (170)
The Complete Price Action Course - Advanced Forex Trading,www.udemy.com/course/forex-james-the-complete-price-action-course/,James Thomas Ongawan,"₩220,000","₩55,000",Rating: 4.8 out of 54.8 - (40)
2019-20 Updated : Bookkeeping & Accountancy Complete Course,www.udemy.com/course/bookkeeping-courses/,LetsTute Make it Easy,"₩38,500","₩12,100",Rating: 4.6 out of 54.6 - (36)
VPS for Forex Trading - Protect Your Forex Robots,www.udemy.com/course/forex-vps/,"Kirill Eremenko, ForexBoat Team","₩176,000","₩12,100",Rating: 4.8 out of 54.8 - (605)
Guide to Stock Trading with Candlestick & Technical Analysis,www.udemy.com/course/introduction-to-japanese-candlesticks/,"Luca Moschini, Sharper Trades","₩220,000","₩12,100","Rating: 4.5 out of 54.5 - (1,610)"
Introduction to Financial Modeling for Beginners,www.udemy.com/course/intro-to-financial-modeling/,"Symon He, Brandon Young","₩115,500","₩12,100",Rating: 4.4 out of 54.4 - (921)
The Complete Swing Trading Course (New 2020),www.udemy.com/course/the-complete-swing-trading-course/,Wealthy Education,"₩220,000","₩12,100",Rating: 4.3 out of 54.3 - (172)
Managerial (Cost) Accounting For Beginners,www.udemy.com/course/managementaccounting/,"Stefan Ignatovski, Ph.D.","₩220,000","₩12,100",Rating: 4.2 out of 54.2 - (658)
The Complete Microsoft Dynamics NAV 2018 Beginners Course,www.udemy.com/course/the-complete-microsoft-dynamics-nav-2018-beginners-course/,Online CRM Training (3E Consulting Private Limited),"₩165,000","₩12,100",Rating: 4.3 out of 54.3 - (569)
New GST e-learning certification by ClearTax,www.udemy.com/course/new-gst-returns/,ClearTax Learning,0,"₩82,500",Rating: 4.0 out of 54.0 - (40)
Financial Accounting (Advanced) - Course 3 of 5,www.udemy.com/course/expanded-financial-accounting/,Norm Nemrow,"₩220,000","₩12,100",Rating: 4.7 out of 54.7 - (11)
Stock Market from Scratch for Complete Beginners,www.udemy.com/course/learn-stock-market-from-scratch-for-absolute-beginners/,Jatin Taneja,$194.99,$10.44,Rating: 4.3 out of 54.3 - (235)
The Complete Forex Trading Course (New 2020),www.udemy.com/course/the-complete-forex-trading-course/,Wealthy Education,$199.99,$12.09,Rating: 4.3 out of 54.3 - (166)
Bitcoin and Cryptocurrency Bootcamp,www.udemy.com/course/bitcoin-and-cryptocurrency-bootcamp/,"Colt Steele, Kevin Katz",$199.99,$10.99,Rating: 4.7 out of 54.7 - (377)
SAP Financial Accounting and Controlling Super User Training,www.udemy.com/course/sap-financial-accounting-and-controlling-super-user-training/,SAP Academy,$69.99,$10.44,Rating: 4.0 out of 54.0 - (513)
Complete QuickBooks Training 2017 2018 & 2019,www.udemy.com/course/qbadvantage/,Susan Ansell,$199.99,$10.44,Rating: 4.4 out of 54.4 - (278)
