Course,URL,instructor,Price (full),Price (discount),Rank
Cognitive Behavioural Therapy (CBT) Practitioner Certificate,www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/,"Kain Ramsay, Achology Ltd",$199.99,$13.19,"Rating: 4.4 out of 54.4 - (13,727)"
Herbalism :: Intro & Medicine Making Course [Certificate],www.udemy.com/course/herbalism-medicine-making/,Elizabeth Heck,$199.99,$11.54,"Rating: 4.6 out of 54.6 - (4,166)"
Therapeutic Art Life Coach Certification  (Accredited),www.udemy.com/course/art-therapy-life-coach-certification/,"Joeel & Natalie Rivera, Victoria Hawkins, Transformation Academy ™",$199.99,$12.09,"Rating: 4.1 out of 54.1 - (6,117)"
Internationally Accredited Diploma Certificate in Nutrition,www.udemy.com/course/internationally-accredited-diploma-certificate-in-nutrition/,"Akash Sehrawat, Fabulous Body, Teaching Assistant",$199.99,$13.19,"Rating: 4.4 out of 54.4 - (2,992)"
Aromatherapy- Using Essential Oils For Natural Living (5 CE),www.udemy.com/course/aromatherapy-how-to-use-essential-oils-in-your-everyday-life/,Mark Perren-Jones,$194.99,$12.64,"Rating: 4.5 out of 54.5 - (2,562)"
"CBT for Depression, Anxiety, Phobias and Panic Attacks",www.udemy.com/course/cbt-for-depression-anxiety-phobias-and-panic-attacks/,Libby Seery - Founder of Renaissance Life Therapies,$199.99,$12.09,"Rating: 4.1 out of 54.1 - (2,351)"
Hypnotherapy Practitioner Diploma (Achology Certified),www.udemy.com/course/hypnotherapy-practitioner-diploma-course-achology-certified/,"Kain Ramsay, Achology Ltd",$199.99,$13.19,"Rating: 4.6 out of 54.6 - (1,059)"
EFT / TFT Master Practitioner Certification (ACCREDITED),www.udemy.com/course/eft-tft-tapping-master-practitioner-certification-expert/,Graham Nicholls,$194.99,$12.09,Rating: 4.5 out of 54.5 - (717)
The Art of Energy Healing,www.udemy.com/course/the-art-of-energy-healing/,James Seriph,$199.99,$10.99,"Rating: 4.5 out of 54.5 - (2,264)"
Acupressure Massage For Pain Relief Certificate Course(5CEU),www.udemy.com/course/the-acupressure-masterclass-for-maximal-pain-relief/,Mark Perren-Jones,$194.99,$12.09,"Rating: 4.6 out of 54.6 - (1,345)"
Deep Tissue Massage Certificate Course (5 CEU's),www.udemy.com/course/award-winning-isla-verde-spa-deep-tissueadvanced-techniques/,Mark Perren-Jones,$194.99,$12.64,"Rating: 4.6 out of 54.6 - (1,075)"
Certified Clinical Trauma Specialist – Individual (CCTS-I),www.udemy.com/course/certified-clinical-trauma-specialist-individual-ccts-i/,Robert Rhoton,$179.99,$13.19,"Rating: 4.6 out of 54.6 - (1,354)"
Health and Nutrition Life Coach Certification  (Accredited),www.udemy.com/course/health-and-nutrition-life-coach-certification/,"Joeel & Natalie Rivera, Sanda Kruger, Transformation Academy ™",$199.99,$12.09,"Rating: 4.4 out of 54.4 - (1,167)"
Complete Fitness Trainer Certification: Beginner To Advanced,www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/,Felix Harder,$199.99,$12.09,"Rating: 4.5 out of 54.5 - (1,130)"
Sounds True Presents: Qi Gong for Health and Healing,www.udemy.com/course/qi-gong-for-health-and-healing/,"Lee Holden, Sounds True",$159.99,$10.44,"Rating: 4.6 out of 54.6 - (1,280)"
Diet And Nutrition Coach Certification: Beginner To Advanced,www.udemy.com/course/diet-nutrition-coach-certification-beginner-to-advanced/,Felix Harder,$199.99,$12.09,Rating: 4.5 out of 54.5 - (900)
Certificate in Ericksonian Hypnotherapy (Hypnosis Training),www.udemy.com/course/certificate-in-ericksonian-hypnotherapy/,Dan Jones,"руб.9,799",руб.879,"Rating: 4.4 out of 54.4 - (1,641)"
Internationally Accredited Diploma in Yoga Training,www.udemy.com/course/internationally-accredited-diploma-in-yoga-training/,"Akash Sehrawat, Fabulous Body, Teaching Assistant","руб.19,799",руб.879,Rating: 4.4 out of 54.4 - (996)
Isla Verde Spa Relaxation Massage Certificate Course,www.udemy.com/course/award-winning-isla-verde-spa-relaxation-massage-masterclass/,Mark Perren-Jones,"руб.19,299",руб.879,"Rating: 4.6 out of 54.6 - (1,566)"
"Extensive QiGong movement, breathing and meditation course.",www.udemy.com/course/qigong-course/,Michaël Bijker,"руб.19,799",руб.879,Rating: 4.6 out of 54.6 - (276)
Pilates: A New Body in 30 Sessions,www.udemy.com/course/pilates-a-new-body-in-30-sessions/,Josie McKenlay,"руб.9,799",руб.879,Rating: 4.4 out of 54.4 - (339)
Advanced Training for Trauma Treatment of Complex PTSD,www.udemy.com/course/advanced-training-for-trauma-treatment-of-complex-ptsd/,Robert Rhoton,"руб.19,799",руб.879,Rating: 4.6 out of 54.6 - (190)
