Course,URL,instructor,Price (full),Price (discount),Rank
The Complete Financial Analyst Course 2020,www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,194.99,9.99,"4.5(25,201 ratings)"
The Complete Financial Analyst Training & Investing Course,www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,Chris Haroun,199.99,9.99,"4.5(11,165 ratings)"
Beginner to Pro in Excel: Financial Modeling and Valuation,www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,365 Careers,194.99,9.99,"4.5(17,566 ratings)"
Investing In Stocks  The Complete Course! (11 Hour),www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA",199.99,9.99,"4.4(10,128 ratings)"
Python for Finance: Investment Fundamentals & Data Analytics,www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,194.99,9.99,"4.5(9,672 ratings)"
The Complete Investment Banking Course 2020,www.udemy.com/course/the-complete-investment-banking-course-2016/,365 Careers,194.99,9.99,"4.4(12,540 ratings)"
The Complete Foundation Stock Trading Course,www.udemy.com/course/foundation-course/,Mohsen Hassan,199.99,9.99,"4.6(6,934 ratings)"
"Introduction to Finance, Accounting, Modeling and Valuation",www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,Chris Haroun,199.99,9.99,"4.4(9,907 ratings)"
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,www.udemy.com/course/forex-trading/,Kirill Eremenko,194.99,9.99,"4.6(11,570 ratings)"
"The Complete Personal Finance Course: Save,Protect,Make More",www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/,Chris Haroun,199.99,9.99,"4.5(2,896 ratings)"
Advanced Stock Trading Course + Strategies,www.udemy.com/course/advanced-course-plus-strategies/,Mohsen Hassan,199.99,9.99,"4.6(1,828 ratings)"
Technical Analysis MasterClass:Trading By Technical Analysis,www.udemy.com/course/technical_analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,9.99,"4.5(2,569 ratings)"
