Course,URL,instructor,Price (full),Price (discount),Rank
Microsoft Excel - Excel from Beginner to Advanced,www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,Kyle Pew,149.99,9.99,"4.6(84,615 ratings)"
Microsoft Excel - Advanced Excel Formulas & Functions,www.udemy.com/course/excel-for-analysts/,Maven Analytics,174.99,9.99,"4.6(19,406 ratings)"
Unlock Excel VBA and Excel Macros,www.udemy.com/course/excel-vba-and-macros-course/,Leila Gharani,199.99,9.99,"4.6(11,879 ratings)"
Microsoft Excel - Data Analysis with Excel Pivot Tables,www.udemy.com/course/data-analysis-with-excel-pivot-tables/,Maven Analytics,174.99,9.99,"4.6(12,028 ratings)"
"Microsoft Excel - Data Visualization, Excel Charts & Graphs",www.udemy.com/course/advanced-excel-charts-graphs/,Maven Analytics,0,0,"4.5(4,969 ratings)"
"Microsoft Excel - Excel Power Query, Power Pivot & DAX",www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,Maven Analytics,0,0,"4.7(5,279 ratings)"
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3",www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/,Alan Jarvis,199.99,9.99,"4.5(11,368 ratings)"
Excel Essentials for the Real World (Complete Excel Course),www.udemy.com/course/microsoft-excel-essentials/,Leila Gharani,0,0,4.7(745 ratings)
Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 10 PDU,www.udemy.com/course/microsoft-project-tutorial/,Srikanth Shirodkar,199.99,9.99,"4.4(7,582 ratings)"
Powerpoint 2016 2019 - Master powerpoint presentation,www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/,Andrzej Pach,0,0,"4.4(3,999 ratings)"
Master Microsoft Word Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/,Kyle Pew,0,0,"4.6(4,683 ratings)"
Visually Effective Excel Dashboards,www.udemy.com/course/excel-dashboards-reports/,Leila Gharani,0,0,"4.6(5,886 ratings)"
Microsoft Access 2016 Master Class: Beginner to Advanced,www.udemy.com/course/microsoftaccess/,Joe Parys,0,0,"4.5(7,745 ratings)"
The Complete ServiceNow System Administrator Course (2018),www.udemy.com/course/the-complete-servicenow-system-administrator-course/,Mark Miller,0,0,"4.4(3,636 ratings)"
The Ultimate Microsoft Office 2016 Training Bundle,www.udemy.com/course/the-ultimate-microsoft-office-2016-training-bundle/,Simon Sez IT,0,0,"4.3(2,141 ratings)"
Microsoft Access Complete Beginner to Advanced,www.udemy.com/course/microsoft-access-complete-beginner-to-advanced/,Kyle Pew,0,0,"4.6(1,270 ratings)"
Oracle SQL Performance Tuning Masterclass 2020,www.udemy.com/course/sql-performance-tuning-masterclass/,"Oracle Master Training • 40,000+ Students Worldwide",0,0,"4.5(1,282 ratings)"
Advanced Excel: Top Excel Tips & Formulas,www.udemy.com/course/advanced-excel-tips-formulas/,Leila Gharani,0,0,"4.5(2,662 ratings)"
Master Microsoft Excel Macros and Excel VBA,www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,Kyle Pew,0,0,"4.5(7,005 ratings)"
Excel PRO TIPS: 75+ Tips to go from Excel Beginner to Pro,www.udemy.com/course/microsoft-excel-pro-tips-for-power-users/,Maven Analytics,0,0,4.6(724 ratings)
PowerPoint Masterclass - Presentation Design & Animation,www.udemy.com/course/complete-powerpoint-presentation-design/,Andrzej Pach,0,0,"4.6(1,200 ratings)"
Oracle DBA 11g/12c - Database Administration for Junior DBA,www.udemy.com/course/oracledbatraining/,Amarnath Reddy,0,0,"4.3(3,220 ratings)"
Oracle PL/SQL Fundamentals vol. I & II,www.udemy.com/course/oracle-plsql-fundamentals-vol-i-ii/,Intellezy Trainers,0,0,"4.5(3,599 ratings)"
Excel Charts: Visualization Secrets for Impressive Charts,www.udemy.com/course/excel-data-visualization-techniques-for-impressive-reports/,Leila Gharani,0,0,"4.6(1,718 ratings)"
Microsoft Excel - From Beginner to Expert in 6 Hours,www.udemy.com/course/thebestexcel/,Todd McLeod,0,0,"4.5(11,866 ratings)"
Power BI Master Class - Data Modeling and DAX Formulas,www.udemy.com/course/power-bi-master-class-data-modelling-and-dax-formulas/,Ian Littlejohn,0,0,"4.4(1,402 ratings)"
Microsoft Azure Solutions (Exam 70-533) – 9 Course Bundle,www.udemy.com/course/azure-cloud-services-6-course-bundle/,Intellezy Trainers,0,0,"4.3(1,601 ratings)"
Microsoft Excel Data Analysis and Dashboard Reporting,www.udemy.com/course/microsoft-excel-data-analysis-and-dashboard-reporting/,Kyle Pew,0,0,"4.7(1,515 ratings)"
Microsoft PowerPoint From Beginner to Advanced,www.udemy.com/course/microsoft-powerpoint-beginner-to-advanced-x/,Kyle Pew,0,0,4.6(89 ratings)
SAP Simplified for Absolute Beginners,www.udemy.com/course/sap-simplified-for-absolute-beginners/,Ulrika Garner,0,0,"4.4(2,846 ratings)"
Microsoft OneNote Like a Boss. The Definitive Course.,www.udemy.com/course/microsoft-onenote-2013-like-a-boss/,Brian Culp,0,0,"4.5(1,625 ratings)"
Excel Dynamic Arrays: Beginner to Expert (Excel Office 365),www.udemy.com/course/excel-dynamic-arrays/,Leila Gharani,174.99,9.99,4.7(61 ratings)
The Ultimate QuickBooks Pro Training Bundle - 45 Hours,www.udemy.com/course/the-ultimate-quickbooks-pro-training-bundle/,Simon Sez IT,199.99,9.99,"4.4(1,928 ratings)"
SAP ABAP Programming For Beginners - Online Training,www.udemy.com/course/sap-abap-programming-for-beginners/,Peter Moxon,94.99,9.99,"4.3(3,917 ratings)"
Beginner to Pro in PowerPoint: Complete PowerPoint Training,www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,365 Careers,149.99,9.99,"4.3(2,769 ratings)"
The Complete Power BI Practical Course 2020,www.udemy.com/course/the-complete-power-bi-practical-course/,365 Careers,199.99,9.99,4.4(76 ratings)
SAP SD Training - in Plain English,www.udemy.com/course/sap-sd-training/,Siva Prasad,199.99,9.99,"4.3(3,592 ratings)"
Microsoft Visio 13/16/19 Like a Boss - The Definitive Course,www.udemy.com/course/visio-2013-like-a-boss/,Brian Culp,149.99,9.99,"4.5(1,614 ratings)"
Mastering Microsoft Teams (2019),www.udemy.com/course/mastering-microsoft-teams/,Chip Reaves,24.99,9.99,"4.3(1,890 ratings)"
Microsoft Access VBA for Non Programmers - YOU Can Do This!,www.udemy.com/course/access-vba-for-nonprogrammers-increase-your-earning-power/,Bruce Myron,199.99,9.99,"4.6(1,519 ratings)"
Master Microsoft Project 2016 - 6 PDUs from a PMI REP,www.udemy.com/course/microsoft-project-2016/,Joseph Phillips,99.99,9.99,"4.5(2,448 ratings)"
Microsoft 365 Identity And Services (Exam MS-100),www.udemy.com/course/microsoft-365-identity-and-services-exam-ms-100/,Intellezy Trainers,64.99,9.99,4.3(241 ratings)
Excel VBA Programming - The Complete Guide,www.udemy.com/course/excel-vba-programming/,Boris Paskhaver,199.99,9.99,"4.5(2,521 ratings)"
SharePoint 2013 Complete Training,www.udemy.com/course/sharepoint-2013-complete-training/,Kyle Pew,99.99,9.99,"4.3(3,830 ratings)"
Excel to Access: Intro to Microsoft Access for Excel Users,www.udemy.com/course/import-excel-into-access/,Bruce Myron,199.99,9.99,"4.6(2,583 ratings)"
SAP : Supply Chain Logistics in R/3,www.udemy.com/course/sap-supply-chain-logistics-in-r3/,Abdul Maulud,139.99,9.99,4.3(886 ratings)
Office 365 PowerApps,www.udemy.com/course/office-365-powerapps/,Intellezy Trainers,39.99,9.99,4.5(147 ratings)
The Complete Windows PowerShell Training For Beginners,www.udemy.com/course/windows-powershell/,Fettah Ben,149.99,9.99,"4.3(1,270 ratings)"
