Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Photography Masterclass: A Complete Guide to Photography,www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,"Phil Ebiner, William Carnahan, Video School Online Inc, Sam Shimizu-Jones","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (26,509)","[(/user/philipebiner2/, Phil Ebiner), (/user/william-carnahan/, William Carnahan), (/user/phil-ebiner/, Video School Online Inc), (/user/samshimizujones2/, Sam Shimizu-Jones)]",Photography,Photography Fundamentals,Photography,"139,752",English,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,1/2020,01/27/20
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,"Phil Ebiner, Video School Online Inc","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (12,958)","[(/user/philipebiner2/, Phil Ebiner), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Video Design,Adobe Premiere,"147,929",English,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,11/2019,01/27/20
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,www.udemy.com/course/adobe-lightroom/,"Phil Ebiner, Rapid Growth Coaching Top 10% on Udemy, Video School Online Inc","₩220,000","₩13,200","Rating: 4.3 out of 54.3 - (4,784)","[(/user/philipebiner2/, Phil Ebiner), (/user/jonhaase2/, Rapid Growth Coaching Top 10% on Udemy), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Photography Tools,Adobe Lightroom,"49,583",English,"Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!",3/2019,01/27/20
iPhone Photography | Take Professional Photos On Your iPhone,www.udemy.com/course/iphonephotography/,Dale McManus,"₩55,000","₩13,200","Rating: 4.7 out of 54.7 - (5,784)","[(/user/dale-mcmanus/, Dale McManus)]",Photography,Digital Photography,iPhone Photography,"18,406",English,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,3/2019,01/27/20
The Complete Video Production Bootcamp,www.udemy.com/course/video-production-bootcamp/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (4,744)","[(/user/philipebiner2/, Phil Ebiner), (/user/william-carnahan/, William Carnahan), (/user/samshimizujones2/, Sam Shimizu-Jones), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Video Design,Video Production,"58,369",English,"Make better videos with the ultimate course on video production, planning, cinematography, editing & distribution.",11/2018,01/27/20
Night Photography: You Can Shoot Stunning Night Photos,www.udemy.com/course/night-photography/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc","₩110,000","₩13,200",Rating: 4.5 out of 54.5 - (995),"[(/user/philipebiner2/, Phil Ebiner), (/user/william-carnahan/, William Carnahan), (/user/samshimizujones2/, Sam Shimizu-Jones), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Digital Photography,Night Photography,"41,837",English,You will shoot amazing night photos that impress your family and friends with this complete night photography course!,3/2019,01/27/20
Adobe Lightroom CC Masterclass: Complete Photo Editing Guide,www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/,"Phil Ebiner, Video School Online Inc","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (1,031)","[(/user/philipebiner2/, Phil Ebiner), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Photography Tools,Adobe Lightroom,"14,066",English,Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,1/2020,01/27/20
Complete Filmmaker Guide: Become an Incredible Video Creator,www.udemy.com/course/incrediblevideocreator/,Julian Melanson,"₩220,000","₩13,200","Rating: 4.3 out of 54.3 - (2,143)","[(/user/julian-melanson/, Julian Melanson)]",Photography,Video Design,Video Production,"13,613",English,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,9/2018,01/27/20
VIDEO STORYTELLING. Creative Excellence Class,www.udemy.com/course/videography-storytelling/,Andrew St.Pierre White,"₩165,000","₩13,200",Rating: 4.5 out of 54.5 - (559),"[(/user/andrewstpierrewhite/, Andrew St.Pierre White)]",Photography,Video Design,Storytelling,"2,861",English,"Creative videography, storytelling, shooting and editing in an easy to follow course for intermediates and beginners.",12/2019,01/27/20
The Complete Final Cut Pro X Course Beginner To Intermediate,www.udemy.com/course/finalcutproxcourse/,"Joe Parys, Joe Parys Support","₩220,000","₩13,200","Rating: 4.4 out of 54.4 - (1,052)","[(/user/josephparys/, Joe Parys), (/user/joe-parys-academy/, Joe Parys Support)]",Photography,Video Design,Final Cut Pro,"13,244",English,In this complete course students will learn how to edit their videos using Final Cut Pro X from beginner to intermediate,1/2020,01/27/20
