Course,URL,instructor,Price (full),Price (discount),Rank
EFT  & TFT Tapping Practitioner Certification (ACCREDITED),www.udemy.com/course/eft-tft-tapping-practitioner-certification-beginner-pro-eft/,Graham Nicholls,"¥23,400","¥1,440","Rating: 4.6 out of 54.6 - (2,574)"
NLP Practitioner & NLP Master Practitioner Cert (ACCREDITED),www.udemy.com/course/nlp-practitioner-master-practitioner-certification-course/,Graham Nicholls,"¥24,000","¥1,440","Rating: 4.6 out of 54.6 - (1,210)"
How to Draw From Beginner to Master,www.udemy.com/course/how-to-draw-from-beginner-to-master/,Joseph Patric Daniels,"¥24,000","¥1,440","Rating: 4.7 out of 54.7 - (1,317)"
100% Official NLP Practitioner Certification ABNLP (assoc),www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-certification-abnlp/,"Matthew Barnett, NLPIncorporated Certified NLP Training Institute","¥18,000","¥1,440","Rating: 4.6 out of 54.6 - (3,100)"
The Art & Science of Drawing / BASIC SKILLS,www.udemy.com/course/the-art-and-science-of-drawing/,Brent Eviston,"¥4,200","¥1,440","Rating: 4.6 out of 54.6 - (5,027)"
"Procreate: Draw, Sketch, Paint, and Design on Your iPad",www.udemy.com/course/procreate-draw-sketch-paint-and-design-on-your-ipad/,"Video School Online Inc, Jeremy Hazel","¥24,000","¥1,440","Rating: 4.5 out of 54.5 - (1,220)"
The Colored Pencil Drawing Course,www.udemy.com/course/the-colored-pencil-course/,Matthew Fussell,"¥4,200","¥1,440","Rating: 4.4 out of 54.4 - (2,292)"
HOW TO PAINT FROM BEGINNER TO MASTER,www.udemy.com/course/how-to-paint-from-beginner-to-master/,Joseph Patric Daniels,"¥21,600","¥1,440","Rating: 4.7 out of 54.7 - (1,019)"
The Art & Science of Figure Drawing: GESTURE,www.udemy.com/course/figuredrawing/,Brent Eviston,"¥12,000","¥1,440","Rating: 4.6 out of 54.6 - (1,347)"
Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),www.udemy.com/course/emotional-intelligence-practitioner-certification/,Graham Nicholls,"¥24,000","¥1,440",Rating: 4.5 out of 54.5 - (485)
How To Make Soap - Homemade Soap Making for Beginners,www.udemy.com/course/how-to-make-soap/,Shona O'Connor,"¥15,000","¥1,440","Rating: 4.5 out of 54.5 - (1,477)"
Complete Day Trading : Stock Trading With Technical Analysis,www.udemy.com/course/day-trading-strategies-day-trading-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","¥24,000","¥1,440",Rating: 4.5 out of 54.5 - (957)
Masterclass of Realistic Drawing and Shading Human Features,www.udemy.com/course/masterclass-of-realistic-drawing-and-shading-human-features/,"Ian Xiang, Ava Moradi","¥18,000","¥1,440",Rating: 4.5 out of 54.5 - (384)
