Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Character Art School: Complete Character Drawing Course,www.udemy.com/course/character-art-school-complete-character-drawing/,Scott Harris,€194.99,€11.99,"Rating: 4.5 out of 54.5 - (34,326)","[(/user/54722fd1cda5b/, Scott Harris)]",Design,Other,Character Animation,"163,702",English,"Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",1/2020,01/28/20
The Ultimate Drawing Course - Beginner to Advanced,www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/,"Jaysen Batchelor, Quinton Batchelor",€149.99,€11.99,"Rating: 4.5 out of 54.5 - (76,762)","[(/user/jaysen-batchelor/, Jaysen Batchelor), (/user/quinton-batchelor-2/, Quinton Batchelor)]",Design,Graphic Design,Drawing,"324,624",English,Learn the #1 most important building block of all art,1/2019,01/28/20
Graphic Design Masterclass - Learn GREAT Design,www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,Lindsay Marsh,€194.99,€11.99,"Rating: 4.6 out of 54.6 - (5,968)","[(/user/lindsay-marsh/, Lindsay Marsh)]",Design, Graphic Design, ,"30,023",English,"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",1/2020,01/28/20
Ultimate Photoshop Training: From Beginner to Pro,www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/,Cristian Doru Barin,€199.99,€11.99,"Rating: 4.6 out of 54.6 - (12,510)","[(/user/barindoru/, Cristian Doru Barin)]",Design,Graphic Design,Photoshop,"87,789",English,Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course,12/2019,01/28/20
User Experience Design Essentials - Adobe XD UI UX Design,www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,"Daniel Walter Scott, Instructor HQ",€199.99,€11.99,"Rating: 4.6 out of 54.6 - (12,483)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,User Experience,User Experience Design,"53,552",English,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",5/2019,01/28/20
Complete Blender Creator: Learn 3D Modelling for Beginners,www.udemy.com/course/blendertutorial/,"GameDev.tv Team, Rick Davidson",€194.99,€11.99,"Rating: 4.6 out of 54.6 - (33,320)","[(/user/gamedevtv/, GameDev.tv Team), (/user/rick-davidson-5/, Rick Davidson)]",Design,3D & Animation,Blender,"178,037",English,"Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.",1/2020,01/28/20
Illustrator CC 2020 MasterClass,www.udemy.com/course/illustrator-cc-masterclass/,Martin Perhiniak,€199.99,€11.99,"Rating: 4.6 out of 54.6 - (18,355)","[(/user/martinperhiniak/, Martin Perhiniak)]", Design,Graphic Design,Adobe Illustrator,"89,299",English,Master Adobe Illustrator CC with this in-depth training for all levels.,11/2019,01/28/20
The Ultimate Digital Painting Course - Beginner to Advanced,www.udemy.com/course/the-ultimate-digital-painting-course-beginner-to-advanced/,"Jaysen Batchelor, Austin Batchelor",€194.99,€11.99,"Rating: 4.5 out of 54.5 - (1,554)","[(/user/jaysen-batchelor/, Jaysen Batchelor), (/user/austin-batchelor/, Austin Batchelor)]",Design,Graphic Design,Digital Painting,"15,006",English,Everything from drawing fundamentals to professional painting techniques,12/2019,01/28/20
After Effects CC 2020: Complete Course from Novice to Expert,www.udemy.com/course/after-effects-kinetic-typography/,Louay Zambarakji,€199.99,€11.99,"Rating: 4.5 out of 54.5 - (14,281)","[(/user/ultimateresults/, Louay Zambarakji)]",Design,3D & Animation,After Effects,"84,713",English,"Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.",1/2020,01/28/20
Adobe Photoshop CC – Essentials Training Course,www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,"Daniel Walter Scott, Instructor HQ",€199.99,€11.99,"Rating: 4.7 out of 54.7 - (6,438)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,Photoshop,"27,995",English,This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,11/2019,01/28/20
The Ultimate Character Design School - Beginner to Advanced,www.udemy.com/course/the-ultimate-character-design-school-beginner-to-advanced/,Jaysen Batchelor,€199.99,€11.99,Rating: 4.6 out of 54.6 - (749),"[(/user/jaysen-batchelor/, Jaysen Batchelor)]",Design,Graphic Design,Character Design,"7,269",English,Learn the concept industries number on job skill,12/2019,01/28/20
Character Art School: Complete Coloring and Painting Course,www.udemy.com/course/character-art-school-complete-coloring-and-painting/,Scott Harris,€194.99,€11.99,"Rating: 4.6 out of 54.6 - (3,069)","[(/user/54722fd1cda5b/, Scott Harris)]",Design,Other,Character Design,"52,369",English,"The Best Way to Learn to Color and Paint Professional Characters for Animation, Games, Comics, Manga and More.",12/2019,01/28/20
Adobe Illustrator CC - Essentials Training Course,www.udemy.com/course/adobe-illustrator-course/,"Video School Online Inc, Phil Ebiner, Daniel Walter Scott, Instructor HQ",€199.99,€11.99,"Rating: 4.7 out of 54.7 - (5,681)","[(/user/phil-ebiner/, Video School Online Inc), (/user/philipebiner2/, Phil Ebiner), (/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,Adobe Illustrator,"23,975",English,"Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!",12/2019,01/28/20
User Experience (UX): The Ultimate Guide to Usability and UX,www.udemy.com/course/ultimate-guide-to-ux/,David Travis,€194.99,€48.75,"Rating: 4.6 out of 54.6 - (4,165)","[(/user/davidtravis/, David Travis)]",Design,User Experience,User Experience Design,"16,279",English,Get a job in UX and build your user research and UX design skills with this hands-on user experience training course.,8/2019,01/28/20
Photoshop CC 2020 MasterClass,www.udemy.com/course/photoshop-cc-masterclass/,Martin Perhiniak,€199.99,€11.99,"Rating: 4.6 out of 54.6 - (5,473)","[(/user/martinperhiniak/, Martin Perhiniak)]",Design,Graphic Design,Photoshop,"34,828",English,Master the World's Best Imaging and Design Application and Become an Adobe Certified Associate.,11/2019,01/28/20
Adobe Photoshop CC – Advanced Training Course,www.udemy.com/course/adobe-photoshop-cc-advanced-training-course-tutorial/,"Daniel Walter Scott, Instructor HQ",€199.99,€11.99,"Rating: 4.7 out of 54.7 - (2,381)","[(/user/danielwalterscott/, Daniel Walter Scott), (/user/daniel-walter-scott/, Instructor HQ)]",Design,Graphic Design,Photoshop,"20,175",English,You'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.,11/2019,01/28/20
"CSS - The Complete Guide 2020 (incl. Flexbox, Grid & Sass)",www.udemy.com/course/css-the-complete-guide-incl-flexbox-grid-sass/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz",$199.99,$11.39,"Rating: 4.7 out of 54.7 - (5,734)","[(/user/academind/, Academind by Maximilian Schwarzmüller), (/user/maximilian-schwarzmuller/, Maximilian Schwarzmüller), (/user/manuel-lorenz/, Manuel Lorenz)]",Design,Web Design,CSS,"30,740",English,Learn CSS for the first time or brush up your CSS skills and dive in even deeper. EVERY web developer has to know CSS.,10/2019,01/28/20
The complete AutoCAD 2018-20 course,www.udemy.com/course/autocad-2018-course/,Jaiprakash Pandey,$29.99,$11.39,"Rating: 4.6 out of 54.6 - (7,109)","[(/user/jaiprakashpandey2/, Jaiprakash Pandey)]",Design,Architectural Design,AutoCAD,"27,795",English,A complete course for learning AutoCAD from scratch to professional level,12/2019,01/28/20
Creating 3D environments in Blender,www.udemy.com/course/blender-environments/,"Rob Tuytel, Erik Selin",$194.99,$11.99,"Rating: 4.6 out of 54.6 - (4,986)","[(/user/robtuytel/, Rob Tuytel), (/user/erik-selin/, Erik Selin)]",Design,3D & Animation,Blender,"47,017",English,"This course helps you creating wonderful environment scenes, organizing your workflow, and find the right inspiration.",1/2020,01/28/20
