Course,URL,instructor,Price (full),Price (discount),Rank
AWS Certified Solutions Architect - Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate/,"Ryan Kroonenburg, Faye Ellis",$179.99,$11.99,"Rating: 4.5 out of 54.5 - (163,295)"
Learn Ethical Hacking From Scratch,www.udemy.com/course/learn-ethical-hacking-from-scratch/,"Zaid Sabih, z Security",$194.99,$11.99,"Rating: 4.5 out of 54.5 - (56,750)"
Practical Ethical Hacking - The Complete Course,www.udemy.com/course/practical-ethical-hacking/,Heath Adams,$119.99,$30.00,"Rating: 4.8 out of 54.8 - (1,819)"
Ultimate AWS Certified Solutions Architect Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,$199.99,$11.99,"Rating: 4.7 out of 54.7 - (15,412)"
Ultimate AWS Certified Developer Associate 2020 - NEW!,www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,$199.99,$11.99,"Rating: 4.6 out of 54.6 - (13,470)"
TOTAL: CompTIA A+ Certification (220-1001).,www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",$144.99,$11.99,"Rating: 4.7 out of 54.7 - (11,934)"
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams/,"Jon Bonso • AWS Certified Solutions Architect & Certified Developer, Tutorials Dojo",$39.99,$11.99,"Rating: 4.6 out of 54.6 - (9,752)"
The Complete Cyber Security Course : Hackers Exposed!,www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,$119.99,$11.99,"Rating: 4.5 out of 54.5 - (23,196)"
TOTAL: CompTIA A+ Certification (220-1002).,www.udemy.com/course/new-comptia-a-2019-certification-1002-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",$144.99,$11.99,"Rating: 4.7 out of 54.7 - (2,310)"
Certified Kubernetes Administrator (CKA) with Practice Tests,www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,"Mumshad Mannambeth, KodeKloud Training",$199.99,$11.99,"Rating: 4.7 out of 54.7 - (5,774)"
TOTAL: CompTIA Security+ Certification (SY0-501).,www.udemy.com/course/comptia-security-certification-sy0-501-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",$194.99,$11.99,"Rating: 4.6 out of 54.6 - (16,602)"
TOTAL: CompTIA Network+ Certification (N10-007).,www.udemy.com/course/comptia-network-cert-n10-007-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",$199.99,$11.99,"Rating: 4.7 out of 54.7 - (9,680)"
AWS Certified Developer - Associate 2020,www.udemy.com/course/aws-certified-developer-associate/,"Ryan Kroonenburg, Faye Ellis",$149.99,$11.99,"Rating: 4.3 out of 54.3 - (33,463)"
AWS Certified Solutions Architect Professional [Latest Exam],www.udemy.com/course/amazon-certified-solutions-architect-professional/,DolfinEd -,0,$129.99,Rating: 4.6 out of 54.6 - (836)
Amazon Web Services (AWS) Certified - 4 Certifications!,www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,BackSpace Academy,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (12,278)"
The Complete Networking Fundamentals Course. Your CCNA start,www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,"David Bombal, Experts with David Bombal",$19.99,$11.99,"Rating: 4.5 out of 54.5 - (16,277)"
The Complete Cyber Security Course : Network Security!,www.udemy.com/course/network-security-course/,Nathan House,$119.99,$11.99,"Rating: 4.5 out of 54.5 - (6,862)"
Cisco CCNA 200-125 and 200-301 – The Complete Guide,www.udemy.com/course/ccna-complete/,Neil Anderson,$19.99,$11.99,"Rating: 4.7 out of 54.7 - (13,449)"
AZ-300 Azure Architecture Technologies Exam Prep 2020,www.udemy.com/course/70534-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca",$39.99,$11.99,"Rating: 4.4 out of 54.4 - (16,304)"
CompTIA Security+ (SY0-501) Complete Course & Practice Exam,www.udemy.com/course/securityplus/,"Jason Dion • 150,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",$199.99,$11.99,"Rating: 4.6 out of 54.6 - (4,966)"
AZ-103 Azure Administrator Exam Certification 2020,www.udemy.com/course/70533-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca",$39.99,$11.99,"Rating: 4.4 out of 54.4 - (11,204)"
AWS Certified Cloud Practitioner: 6 full practice tests 2020,www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mozdora Education,$74.99,$11.99,"Rating: 4.4 out of 54.4 - (5,115)"
