Course,URL,instructor,Price (full),Price (discount),Rank
Life Coaching Certificate Course (Beginner to Advanced),www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/,"Kain Ramsay, Achology Ltd",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (16,902)"
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,"Jonathan Levi, Lev Goldentouch, Anna Goldentouch, SuperHuman Academy®",$199.99,$11.99,"Rating: 4.4 out of 54.4 - (20,316)"
Investing In Stocks  The Complete Course! (11 Hour),www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA",$199.99,$11.99,"Rating: 4.4 out of 54.4 - (10,737)"
"Reiki Level I, II and Master Certification - Energy Healing",www.udemy.com/course/reiki-master-certification-energy-healing/,Melissa Crowhurst,$144.99,$11.99,"Rating: 4.7 out of 54.7 - (10,583)"
NLP Practitioner Certificate Course (Beginner to Advanced),www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-online-course/,"Kain Ramsay, Achology Ltd",$199.99,$11.99,"Rating: 4.4 out of 54.4 - (12,784)"
"Reiki Level I, II and Master/Teacher Program",www.udemy.com/course/reikicourse/,Lisa Powers,$194.99,$11.99,"Rating: 4.7 out of 54.7 - (32,748)"
Radiate Confidence: How to Create a 1000 Watt Presence,www.udemy.com/course/1000-watt-presence/,Alexa Fischer,$199.99,$11.99,"Rating: 4.4 out of 54.4 - (4,662)"
Master your brain: Neuroscience for personal development,www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,$199.99,$11.99,"Rating: 4.6 out of 54.6 - (4,455)"
"Mindfulness Practitioner Course (Level I, II, III & Master)",www.udemy.com/course/mindfulness-training-course-online-mindfulness-practitioner/,"Kain Ramsay, Achology Ltd",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (7,001)"
Neuroscience for parents: How to raise amazing kids,www.udemy.com/course/neuroscience-and-parenting/,Gregory Caremans - Brain Academy,$99.99,$11.99,"Rating: 4.5 out of 54.5 - (3,686)"
10X SUPERHUMAN Learning: Speed Reading & Memory Booster,www.udemy.com/course/learn-speed-reading-memory-techniques/,Silviu Marisk - Top Instructor,$199.99,$11.99,"Rating: 4.6 out of 54.6 - (2,013)"
Neuroplasticity: How To Rewire Your Brain,www.udemy.com/course/neuroplasticity/,Gregory Caremans - Brain Academy,$149.99,$11.99,"Rating: 4.7 out of 54.7 - (7,309)"
Professional Life Coach Certification & Guide (Accredited),www.udemy.com/course/life-coaching-a-complete-guide/,"Joeel & Natalie Rivera, Transformation Academy ™",$194.99,$11.99,"Rating: 4.5 out of 54.5 - (4,834)"
2020 Complete Public Speaking Masterclass For Every Occasion,www.udemy.com/course/the-complete-public-speaking-masterclass-for-every-occasion/,TJ Walker,$199.99,$11.99,"Rating: 4.3 out of 54.3 - (3,909)"
Animal Reiki Practitioner Certification,www.udemy.com/course/animal-reiki-certification/,Lisa Powers,$49.99,$11.99,"Rating: 4.5 out of 54.5 - (5,393)"
"[2020] Career Hacking™: Resume, LinkedIn, Interviewing +More",www.udemy.com/course/golden-gate-bridge/,"Davis Jones, Eazl (Official), Ludell Jones",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (5,440)"
The Complete Foundation FOREX Trading Course,www.udemy.com/course/the-complete-foundation-forex-trading-course/,"Mohsen Hassan, MTG Team","₩220,000","₩13,200","Rating: 4.7 out of 54.7 - (1,081)"
Technical Analysis MasterClass:Trading By Technical Analysis,www.udemy.com/course/technical_analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (2,831)"
NLP Master Practitioner Certificate (Advanced to Expert),www.udemy.com/course/neuro-linguistic-programming-nlp-master-practitioner-online-course/,"Kain Ramsay, Achology Ltd","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (2,014)"
Management Skills: New Manager Training in Essential Skills,www.udemy.com/course/the-new-manager-managing-people-teams-processes/,Lawrence M. Miller,"₩220,000","₩13,200","Rating: 4.4 out of 54.4 - (3,449)"
Your 7 Chakras : The Complete Guide to Your Energy Body,www.udemy.com/course/the-chakra-system-master-class/,James Seriph,"₩110,000","₩13,200","Rating: 4.5 out of 54.5 - (4,692)"
Complete Hypnotherapy & Hypnosis Certification Diploma,www.udemy.com/course/complete-hypnotherapy-hypnosis-certification-course/,Dr Karen E Wells,"₩104,500","₩13,200","Rating: 4.5 out of 54.5 - (1,568)"
Tarot Card Success - The Complete Tarot Reading Course,www.udemy.com/course/tarot-card-meaningshow-to-read-tarot-like-an-expert/,Sal Jade,"₩137,500","₩13,200","Rating: 4.7 out of 54.7 - (4,175)"
"The Complete Job, Interview, Resume/LinkedIn & Network Guide",www.udemy.com/course/thecompletejobinterviewresumenetworknewcareerguide/,"Chris Haroun, Complete Business Education with Chris Haroun","₩220,000","₩13,200","Rating: 4.4 out of 54.4 - (3,335)"
Successful Negotiation: Master Your Negotiating Skills,www.udemy.com/course/a-practical-guide-to-negotiating/,Chris Croft,"₩104,500","₩13,200","Rating: 4.4 out of 54.4 - (4,521)"
Productivity and Time Management for the Overwhelmed,www.udemy.com/course/productivity-and-time-management/,Josh Paulsen,"₩82,500","₩13,200","Rating: 4.4 out of 54.4 - (5,524)"
Crystal Reiki Master/Teacher Certification,www.udemy.com/course/crystal-reiki/,Lisa Powers,"₩104,500","₩13,200","Rating: 4.7 out of 54.7 - (5,083)"
Life Purpose Life Coach Certification (Accredited),www.udemy.com/course/life-purpose-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™","₩214,500","₩13,200","Rating: 4.5 out of 54.5 - (3,687)"
10X SUPERHUMAN Focus: Maximize Your Brain & Focus,www.udemy.com/course/learn-focus-techniques/,Silviu Marisk - Top Instructor,"₩220,000","₩13,200",Rating: 4.7 out of 54.7 - (943)
Voice Training – 30-Days to a More Confident Powerful Voice.,www.udemy.com/course/voice-training-30-days-to-a-more-confident-powerful-voice/,Peter Baker,"₩44,000","₩13,200",Rating: 4.5 out of 54.5 - (801)
Stock Trading Strategies : Technical Analysis MasterClass 2,www.udemy.com/course/advance-trading-strategies/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (1,166)"
The Complete Shopify Dropshipping Masterclass,www.udemy.com/course/complete-shopify-dropshipping-masterclass/,Robin & Jesper | Digital Marketing Professionals,"₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (1,679)"
Options Trading MasterClass: Options With Technical Analysis,www.udemy.com/course/option-trading-option-strategies-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (1,059)"
Body Language for Entrepreneurs,www.udemy.com/course/body-language-for-entrepreneurs/,"Vanessa Van Edwards, Science of People",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (5,038)"
Life Coaching Practitioner Diploma (Advanced to Expert),www.udemy.com/course/life-coaching-practitioner-diploma-achology-certified/,"Kain Ramsay, Achology Ltd",$199.99,$11.99,"Rating: 4.6 out of 54.6 - (1,482)"
Forgiveness ~ with Tara Brach,www.udemy.com/course/forgiveness-with-tara-brach/,"Tara Brach, Ph.D.",$29.99,$11.99,Rating: 4.5 out of 54.5 - (210)
The NLP Confidence & Self Esteem Breakthrough Programme,www.udemy.com/course/the-nlp-confidence-self-esteem-breakthrough-online-course/,Kain Ramsay,$194.99,$11.99,"Rating: 4.2 out of 54.2 - (2,121)"
Transformation Life Coach Certification  (Accredited),www.udemy.com/course/transformation-life-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™",$199.99,$11.99,Rating: 4.6 out of 54.6 - (911)
Complete Presentation Skills Masterclass for Every Occasion,www.udemy.com/course/complete-presentation-skills-masterclass-for-every-occasion/,TJ Walker,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (1,241)"
Master Your Emotions and Revolutionise Your Social Skills,www.udemy.com/course/emotional-intelligence-and-social-skills-online-course/,Kain Ramsay,$144.99,$11.99,"Rating: 3.8 out of 53.8 - (1,371)"
CBT Cognitive Behavior Life Coach Certification: Accredited,www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™",$199.99,$11.99,Rating: 4.5 out of 54.5 - (887)
Day Trading and Swing Trading Strategies For Stocks,www.udemy.com/course/day-trading-swing-trading-strategies-stocks/,"Mohsen Hassan, MTG Team",$199.99,$11.99,Rating: 4.5 out of 54.5 - (538)
Arts Therapy - Arts Therapy For Self Healing (Part One),www.udemy.com/course/art-therapy-for-everyone/,Libby Seery - Founder of Renaissance Life Therapies,$199.99,$11.99,"Rating: 4.4 out of 54.4 - (6,294)"
Life Coaching Business MASTERCLASS (5+ Courses in 1),www.udemy.com/course/life-coaching-business-masterclass-5-courses-in-1/,"Joeel & Natalie Rivera, Transformation Academy ™",$199.99,$11.99,Rating: 4.4 out of 54.4 - (393)
Goal Setting to Success: Life Coach Certification Accredited,www.udemy.com/course/goal-success-life-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™",$194.99,$11.99,"Rating: 4.6 out of 54.6 - (1,669)"
Happiness Life Coach Certification  (Accredited),www.udemy.com/course/happiness-life-coach-certification/,"Joeel & Natalie Rivera, Transformation Academy ™",$194.99,$11.99,"Rating: 4.5 out of 54.5 - (2,333)"
Professional Aromatherapy  Course - Aromatherapy for All,www.udemy.com/course/certified-aromatherapy-diploma-course-level-1/,Tania Magdalene,$189.99,$11.99,"Rating: 4.5 out of 54.5 - (2,190)"
Certified Spiritual Shamanic Initiation -  The Munay Ki,www.udemy.com/course/munay-ki/,"Sharon Ramel, F T A",$174.99,$11.99,"Rating: 4.7 out of 54.7 - (2,505)"
The Science of Leadership,www.udemy.com/course/neuromanagement/,Gregory Caremans - Brain Academy,"₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (1,820)"
How to Be Psychic - Psychic Development for Beginners,www.udemy.com/course/how-to-be-psychic/,Sal Jade,"₩137,500","₩13,200","Rating: 4.7 out of 54.7 - (2,950)"
Personal Branding Mastery: The System To Reinvent Yourself!,www.udemy.com/course/personal-branding-mastery/,Silviu Marisk - Top Instructor,"₩220,000","₩13,200",Rating: 4.6 out of 54.6 - (827)
Self Hypnosis Mastery: Hypnosis for Personal Development,www.udemy.com/course/self-hypnosis-mastery-hypnosis-for-personal-development/,Steven Burns,"₩220,000","₩13,200",Rating: 4.7 out of 54.7 - (639)
Certified Relationship Workshop Facilitator for Life Coaches,www.udemy.com/course/certified-relationship-workshop-facilitator-for-life-coaches/,"Joeel & Natalie Rivera, Transformation Academy ™","₩214,500","₩13,200","Rating: 4.4 out of 54.4 - (1,579)"
Double Your Confidence & Self Esteem - Complete Blueprint,www.udemy.com/course/double-your-confidence-self-esteem/,Jimmy Naraine,"₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (2,189)"
NLP Practitioner & NLP Life Coach Certification (Accredited),www.udemy.com/course/nlp-practitioner-and-life-coach-certification-accredited/,"Joeel & Natalie Rivera, David Key, Transformation Academy ™","₩220,000","₩13,200",Rating: 4.3 out of 54.3 - (380)
Chakra Healing Certificate Course - Effective Energy Healing,www.udemy.com/course/chakra-healing-course-energy-healing/,Melissa Crowhurst,"₩115,500","₩13,200",Rating: 4.7 out of 54.7 - (876)
Investing Success: Learn Keys From A Millionaire Investor!,www.udemy.com/course/investing-success/,"Steve Ballinger, MBA","₩220,000","₩13,200",Rating: 4.3 out of 54.3 - (845)
Advanced Reiki Master Teacher Certificate & Course Material,www.udemy.com/course/reiki-master-teacher-certification/,Melissa Crowhurst,"₩214,500","₩13,200",Rating: 4.7 out of 54.7 - (395)
Law of Attraction Life Coach Certification  (Accredited),www.udemy.com/course/law-of-attraction-life-coach-certification/,"Joeel & Natalie Rivera, Terez Firewoman Hartmann, Transformation Academy ™","₩220,000","₩13,200",Rating: 4.5 out of 54.5 - (835)
"Parenting Skills to Raise Responsible, Mature Children",www.udemy.com/course/raising-responsible-children/,"Roger Kay Allen, Ph.D.","₩165,000","₩13,200",Rating: 4.6 out of 54.6 - (779)
Writing Great Fantasy: World Building Workshop,www.udemy.com/course/world-building-workshop-for-fantasy-writing/,Jason Link,"₩220,000","₩13,200",Rating: 4.5 out of 54.5 - (522)
Psychic Abilities and Increased Intuition with EFT (Tapping),www.udemy.com/course/eft-tapping/,Cha~zay Sandhriel Ph.D.,"₩132,000","₩13,200","Rating: 4.7 out of 54.7 - (1,530)"
Mind Mapping Mastery –> Effective Mind Maps -> Step by Step,www.udemy.com/course/the-secrets-of-effective-mind-mapping/,Barry Mapp,"₩220,000","₩13,200","Rating: 4.2 out of 54.2 - (2,244)"
COMPLETE Creative Writing - All Genres - THE FULL COURSE!,www.udemy.com/course/the-complete-creative-writer-all-genres-a-full-course/,Trace Crawford,"₩33,000","₩13,200",Rating: 4.5 out of 54.5 - (128)
Crystal Healing Certificate Course - Energy Healing Stones,www.udemy.com/course/crystal-healing/,Melissa Crowhurst,$104.99,$10.99,Rating: 4.8 out of 54.8 - (875)
30 Day Challenge to a More Productive and Much Happier You!,www.udemy.com/course/30-day-challenge-to-a-more-productive-and-much-happier-you/,"Chris Haroun, Complete Business Education with Chris Haroun",$199.99,$10.99,"Rating: 4.2 out of 54.2 - (1,251)"
Professional Accredited Angelic Healing Practitioner  Course,www.udemy.com/course/angelic-healing-practitioner-certified-diploma-course/,Tania Magdalene,$164.99,$13.99,"Rating: 4.6 out of 54.6 - (2,848)"
Focus And Flow State: A Comprehensive Brain Guide,www.udemy.com/course/improve-your-focus/,Gregory Caremans - Brain Academy,$99.99,$10.99,"Rating: 4.5 out of 54.5 - (1,468)"
The Story Course - Storytelling Masterclass,www.udemy.com/course/the-story-course/,Paul Jenkins,$169.99,$13.99,Rating: 4.4 out of 54.4 - (343)
Screenwriting & Storytelling Blueprint: Hero's Two Journeys,www.udemy.com/course/screenwriting-story-blueprint-the-heros-two-journeys-filmmaking/,"IFH Courses, Michael Hauge",$174.99,$13.99,"Rating: 4.5 out of 54.5 - (1,150)"
Value Investing Bootcamp: How to Invest Wisely,www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/,Nick Kraakman,$199.99,$10.99,"Rating: 4.4 out of 54.4 - (2,601)"
