Course,URL,instructor,Price (full),Price (discount),Rank
Photography Masterclass: A Complete Guide to Photography,www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,"Phil Ebiner, William Carnahan, Video School Online Inc, Sam Shimizu-Jones",€199.99,€11.99,"Rating: 4.6 out of 54.6 - (26,550)"
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,"Phil Ebiner, Video School Online Inc",€199.99,€11.99,"Rating: 4.6 out of 54.6 - (12,961)"
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,www.udemy.com/course/adobe-lightroom/,"Phil Ebiner, Rapid Growth Coaching Top 10% on Udemy, Video School Online Inc",€199.99,€11.99,"Rating: 4.3 out of 54.3 - (4,786)"
iPhone Photography | Take Professional Photos On Your iPhone,www.udemy.com/course/iphonephotography/,Dale McManus,€49.99,€11.99,"Rating: 4.7 out of 54.7 - (5,794)"
The Complete Video Production Bootcamp,www.udemy.com/course/video-production-bootcamp/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc",€199.99,€11.99,"Rating: 4.5 out of 54.5 - (4,744)"
Night Photography: You Can Shoot Stunning Night Photos,www.udemy.com/course/night-photography/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc",€99.99,€11.99,Rating: 4.5 out of 54.5 - (995)
Adobe Lightroom CC Masterclass: Complete Photo Editing Guide,www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/,"Phil Ebiner, Video School Online Inc",€199.99,€11.99,"Rating: 4.5 out of 54.5 - (1,031)"
Complete Filmmaker Guide: Become an Incredible Video Creator,www.udemy.com/course/incrediblevideocreator/,Julian Melanson,€199.99,€11.99,"Rating: 4.3 out of 54.3 - (2,144)"
The Complete Final Cut Pro X Course Beginner To Intermediate,www.udemy.com/course/finalcutproxcourse/,"Joe Parys, Joe Parys Support",€199.99,€11.99,"Rating: 4.4 out of 54.4 - (1,052)"
VIDEO STORYTELLING. Creative Excellence Class,www.udemy.com/course/videography-storytelling/,Andrew St.Pierre White,€149.99,€11.99,Rating: 4.5 out of 54.5 - (560)
Color Grading with Da Vinci Resolve:  Beginner to Advanced,www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/,Matthew Falconer,€149.99,€11.99,Rating: 4.6 out of 54.6 - (665)
Film using ANY Camera! Basics of Shooting Video Correctly,www.udemy.com/course/videocamerabasics/,Gene Nagata,0,€49.99,Rating: 4.7 out of 54.7 - (541)
Beginner Nikon Digital SLR (DSLR) Photography,www.udemy.com/course/jp-nikon-dslr-for-beginners/,JP Teaches Photo .,€29.99,€11.99,"Rating: 4.6 out of 54.6 - (3,894)"
Affinity Photo: Solid Foundations,www.udemy.com/course/affinityphoto-solid-foundations/,Simon Foster,€99.99,€11.99,"Rating: 4.5 out of 54.5 - (3,082)"
Video Editing in DaVinci Resolve 15:  Beginner to Advanced,www.udemy.com/course/davinci-resolve-15-course/,Louay Zambarakji,€199.99,€11.99,Rating: 4.5 out of 54.5 - (919)
GIMP 2.10 Masterclass: From Beginner to Pro Photo Editing,www.udemy.com/course/gimp-photo-editing/,Michael Davies,€199.99,€11.99,Rating: 4.5 out of 54.5 - (830)
Mastering Architecture and Real Estate Photography,www.udemy.com/course/mastering-architecture-and-real-estate-photography/,Charlie Borland,€74.99,€11.99,"Rating: 4.4 out of 54.4 - (2,283)"
